time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-02 00:00:00+00:00,17,7,3,2
2026-08-03 00:00:00+00:00,1,1,1,1
2026-08-04 00:00:00+00:00,15,8,0,0
2026-08-05 00:00:00+00:00,20,9,5,2
2026-08-06 00:00:00+00:00,3,3,3,3
2026-08-07 00:00:00+00:00,9,8,0,0
2026-08-08 00:00:00+00:00,18,13,6,1
2026-08-09 00:00:00+00:00,53,37,0,0
2026-08-10 00:00:00+00:00,100,77,3,2
2026-08-11 00:00:00+00:00,31,28,0,0
2026-08-12 00:00:00+00:00,22,20,1,1
2026-08-13 00:00:00+00:00,33,29,1,1
2026-08-14 00:00:00+00:00,47,35,0,0
2026-08-15 00:00:00+00:00,50,44,8,2
