time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-06 00:00:00+00:00,7,6,1,1
2026-05-07 00:00:00+00:00,20,9,5,3
2026-05-08 00:00:00+00:00,3,3,0,0
2026-05-09 00:00:00+00:00,28,10,0,0
2026-05-10 00:00:00+00:00,16,7,10,3
2026-05-11 00:00:00+00:00,7,3,0,0
2026-05-12 00:00:00+00:00,10,5,6,2
2026-05-13 00:00:00+00:00,15,4,1,1
2026-05-14 00:00:00+00:00,35,8,1,1
2026-05-15 00:00:00+00:00,33,11,0,0
2026-05-16 00:00:00+00:00,27,9,0,0
2026-05-17 00:00:00+00:00,2,2,0,0
2026-05-18 00:00:00+00:00,11,6,0,0
2026-05-19 00:00:00+00:00,10,5,0,0
